snap(30,-19,-20)
sky(255,238,238)
fog(255,250,214)
clouds(255,255,255,5,-1000)
ground(210,190,190)
polys(195,190,180)
fadefrom(5990)
density(5)
mountains(74065)
nlaps(4)
soundtrack(enemyTerritory,mp3)
name(Riot Coliseum)

set(48,0,0,0)p
set(15,0,5600,0)p
set(17,0,10150,-90)pt
set(17,-3500,10150,90)pt
set(15,-3500,14700,180)
chk(42,-3500,14700,0)r
set(15,-3500,20300,180)
set(35,-3500,17500,180)pr
set(15,-3500,25900,180)p
set(15,-3500,31500,180)p
set(17,-3500,36050,-90)pt
set(15,-8050,36050,-90)
chk(42,-8050,36050,90)r
set(17,-12600,36050,0)pt
set(15,-12600,31500,0)
set(44,-12600,25900,0)
set(33,-12600,28700,0)pr
set(43,-12600,20300,0)
set(33,-12600,23100,0)pr
set(44,-12600,14700,180)
set(33,-12600,17500,0)pr
set(15,-12600,9100,180)
set(33,-12600,11900,0)pr
set(17,-12600,4550,180)pt
set(20,-17150,4550,90)
chk(40,-17150,4550,90)r
set(14,-21700,4550,90)pt
set(20,-21700,9100,180)
set(44,-21700,14700,180)
set(33,-21700,11900,0)pr
set(43,-21700,20300,0)
set(33,-21700,17500,0)pr
set(44,-21700,25900,0)
set(33,-21700,23100,0)pr
set(20,-21700,31500,0)
set(33,-21700,28700,0)pr
set(14,-21700,36050,-90)pt
set(10,-26250,36050,-90)
chk(40,-26250,36050,90)r
set(14,-30800,36050,0)pt
set(10,-30800,31500,0)
set(10,-30800,25900,0)
set(26,-30800,28700,180)pr
set(10,-30800,20300,0)p
set(10,-30800,14700,0)p
set(14,-30800,10150,180)pt
set(10,-35350,10150,-90)p
set(10,-40950,10150,-90)p
set(10,-46550,10150,90)
chk(40,-46550,10150,90)r
set(14,-51100,10150,0)pt
set(10,-51100,5600,180)p
set(14,-51100,1050,90)pt
set(10,-46550,1050,-90)p
set(10,-45278,1050,-90)
set(10,-35350,1050,-90)
set(10,-30800,1050,-90)p
set(14,-26250,1050,180)
chk(40,-28000,1050,90)r
set(10,-26250,5600,0)p
set(10,-26250,9100,0)
set(32,-25900,9100,0)
set(10,-26250,14700,0)
set(32,-26600,11900,0)pr
set(10,-26250,20300,0)p
set(10,-26250,25900,0)
set(32,-26600,25900,0)pr
set(23,-26250,28700,180)
set(32,-25900,28700,0)pr
set(24,-26250,39900,180)p
set(17,-26250,41650,0)pt
set(15,-21700,41650,-90)
chk(42,-21700,41650,90)r
set(17,-17150,41650,-90)pt
set(15,-17150,37100,0)p
set(20,-17150,31500,180)p
set(10,-17150,25900,0)p
set(10,-17150,20300,0)p
set(10,-17150,14700,0)
set(23,-17150,11900,0)
set(26,-17150,11300,180)pr
set(15,-17150,-2100,180)p
set(15,-17150,-7700,180)
chk(42,-17150,-7700,0)r
set(17,-17150,-12250,180)pt
set(15,-21700,-12250,-90)p
set(15,-27300,-12250,90)
set(15,-32900,-12250,-90)
set(35,-30100,-12220,-90)pr
set(15,-38500,-12250,-90)p
set(15,-46550,-12220,-90)p
set(17,-51100,-12220,0)pt
set(15,-51100,-16770,0)
chk(42,-51100,-16770,0)r
set(17,-51100,-21320,90)pt
set(15,-46550,-21320,90)p
set(15,-40950,-21320,90)
set(15,-35350,-21320,90)
set(35,-38150,-21320,-90)pr
set(15,-29750,-21320,90)
set(15,-24150,-21320,90)
set(33,-26950,-21320,-90)pr
set(20,-18550,-21320,-90)p
set(10,-12950,-21320,-90)
set(10,-4550,-21320,-90)
set(29,-9514,-21320,90)pr
set(14,0,-21320,180)pt
set(10,0,-16800,0)
chk(40,0,-14000,0)r
set(20,0,-11200,180)p
set(15,0,-5600,0)
set(34,0,-5600,0)pr
set(15,-51100,31500,0)
set(15,-51100,37100,0)
set(35,-51100,34300,0)
set(24,-51100,39900,0)
set(15,-45500,31500,0)
fix(41,-45500,25900,-1650,0)
set(15,-45500,25900,0)
set(34,-45500,28700,0)
set(24,-45500,23100,180)
set(15,-39900,20300,0)
set(24,-39900,17500,180)
set(15,-39900,25900,0)
set(35,-39900,23100,0)
set(24,-39900,28700,0)
set(24,-45500,34300,0)
set(24,-51100,28700,180)
set(15,-40950,-12220,-90)
set(24,-17150,700,0)
set(15,-40950,5600,90)
set(33,-40950,5600,-90)
set(28,-40314,1050,-90)pr
set(15,-35350,5600,90)
set(33,-35350,5600,-90)
set(24,-32550,5600,-90)
set(24,-43750,5600,90)
set(20,-46550,-5600,90)
set(23,-49350,-5600,-90)
set(15,-40950,-5600,-90)
set(15,-35350,-5600,-90)
set(34,-38150,-5600,-90)
set(20,-29750,-5600,-90)
set(23,-26950,-5600,90)
set(10,-40950,-16770,90)
set(23,-43750,-16770,-90)
set(10,-35350,-16770,90)
set(10,-8050,25900,0)
set(23,-8050,28700,180)
set(10,-8050,20300,0)
set(10,-8050,-11200,180)
set(23,-8050,-14000,0)
set(10,-8050,-5600,180)
set(10,-8050,0,180)
set(10,-8050,14700,180)
fix(41,-8050,7350,-1500,0)
set(23,-8050,11900,0)
set(26,-8050,11300,180)
set(23,-8050,2800,180)
set(26,-8050,3400,0)
set(10,-29750,-16770,90)
set(10,-24150,-16770,90)
set(23,-21350,-16770,90)
set(26,-20750,-16770,-90)

maxl(15,-54350,-23435)
maxb(12,-25835,-51950)
maxr(15,3250,-23435)
maxt(12,46165,-51950)
